id,name,area,distance,drive_time,difficulty,scenery,plants,hiking_distance,road_condition
1,紫霞山,龙泉驿,42km,50min,★,俯瞰苍翠和龙泉驿市区,青冈树、慈竹,3.3km,石梯、木栈道
2,狮子宝,大邑,50km,1h 30min,★★,清丽基地、鹤鸣道观、深阔天谷洞、石林,马蹄、蕨菜、野葱、梅花、竹林,7km,石梯、土路
3,钟家山,龙泉驿,50km,1h 30min,★,飞龙湖、一、二、三、四号平台、连心亭,枇杷、柑橘,7km,木栈栈道
4,白碗窑,龙泉驿,50km,1h 30min,★,绝望坡小孩的天堂,枇杷、橘子,8km,土路泥多
5,中坝森林,彭州,50km,1h 30min,★,暮光森林,杉树、灵芝、竹林、松鼠,6km,水泥路+木栈
6,葛仙山,彭州,50km,1h 30min,★★,冰川漂砾、道教,水杉、刺莓、刺柳,10km,水泥路+野路
7,仰天窝,龙泉驿,50km,1h 30min,★,野吃野林、土坡坡,枇杷、桑葚,6km,土路
8,九龙沟药仙谷,崇州,50km,1h 30min,★★,原始丛林、杉树、山水画廊,茶叶、螃蟹,7km,土路
9,老君山,新津,50km,1h 30min,★,道教、上善若水、水利万物而不争,折耳根、刺莓,7km,水泥路、土路
10,蔡岭岭,双流,50km,1h 30min,★,气象站、俯瞰双流,刺莓、桃子、李子、杏子,6km,石梯、土路
11,肖家山,崇州,50km,1h 30min,★,山顶草甸、棕树林、白塔湖,刺莓,7km,土路
12,云顶山,金堂,50km,1h 30min,★,慈云寺、古炮台、三国文化,千年银杏,6km,石梯
13,三皇观,彭州,50km,1h 30min,★,山脊线、山水墨画、钻树林,橘子、花椒,6km,土路
14,三元场,大邑,50km,1h 30min,★,乌梅花、烧乌梅、山水墨画,乌梅、酸草,8km,土路
15,石牛角,彭州,50km,1h 30min,★,莲花园、谢家洞、砖洞、五龙洞、攀岩、钻树林,黄连、螃蟹、桑葚、竹林、黄连、珙桐、野猪、原始森林,10km,野路
16,梨花沟张家山,彭州,50km,1h 30min,★,梨子、李子、山顶看秦岭,梨、李子,6km,土路、水泥路
17,阳平农观,彭州,50km,1h 30min,★,竹林、崇州寮林叶竹河、适合下雨天,竹笋,5km,水泥路
18,龙溪湿地公园,崇州,50km,1h 30min,★,水道、稻田、农家生活,李子、竹林,4km,水泥路
19,圆通山,崇州,50km,1h 30min,★,街子古镇、康道、凤栖山、光严禅院,竹笋,7km,石梯
20,龙窝子,大邑,50km,1h 30min,★,溪水、瀑布、高山草甸、杉树林、溪水,杉树、竹笋,8km,石梯、土路
21,铜马沟,都江堰,50km,1h 30min,★,竹林、竹笋、溪水、耍水,竹笋,9km,土路
22,大飞水,大邑,50km,1h 30min,★,瀑布、林道、亭子、耍水,杉树,5km,石梯、水泥路
23,琉璃坝,大邑,50km,1h 30min,★★,杉树、暮光森林、看银杏、耍水、露营,杉树、螃蟹、野猪,9km,水泥路 (多路线)
24,上元古道,都江堰,50km,1h 30min,★★,瀑布、溶洞、酒窖、黄连、杉树林、溪边耍水、千年石梯,黄连、杉树,10km,野路、水泥路
25,核桃沟,崇州,50km,1h 30min,★,竹林、瀑布、耍水,竹笋,8km,土路
26,东阳坪,崇州,50km,1h 30min,★★,大雾、钻树林、原始丛林,杉树,10km,土路
27,法藏寺,彭州,50km,1h 30min,★,法藏寺、青观、竹林、溪水、耍水,竹林、螃蟹,7km,土路、水泥路
28,柳烧岩,彭州,50km,1h 30min,★★,钻树林、俯瞰全景、白果,白果、竹林,10km,野路
29,牛角寨大佛,眉山,50km,1h 30min,★,大佛、酸枣、大雾、草崖石刻、天下第一胸像、乐山大佛原型、多安馆、老君观景台、山脊独行,杨树、橘子、酸枣、晚柿、柿子,8km,石梯、土路
30,周家山,崇州,50km,1h 30min,★★★,大雾、山脊线独行、山羊、原始丛林、山水墨画,大棘、猕猴、野生猕猴桃、螃蟹,8km,土路、野路
31,西南界碑峨眉,中江,50km,1h 30min,★,龙庙界碑群、长岭桥、盘龙岭、徐氏宗祠、明清建筑,杨树,7km,土路、土路
32,雾中山,大邑,50km,1h 30min,★,开化寺、大雾、云海,杨树,6km,石梯、土路
33,白鹿顶,彭州,50km,1h 30min,★★,杉树、山水墨画、黄连,刺莓、黄连、杉树,11km,野路
34,黑虎岗,崇州,50km,1h 30min,★★,桃花、李花、园通古寺、河边耍水,橘子、李子,9km,野路
35,中坝森林小鱼洞环线,彭州,50km,1h 30min,★★,杉树、暮光森林、山水画廊,杉树、灵芝、竹林、刺荆儿,8km,水泥路
36,金堂老牛坡,金堂,50km,1h 30min,★,山脊行走、象限之乡、白酒领路,火棘、青冈果,7km,土路
37,丹景山,简阳,50km,1h 30min,★,山脊行走、三龙湖、丹景山,火棘、青冈果、橘子、李子,9km,石梯、土路
38,燕子沟,崇州,50km,1h 30min,★★,冰瀑、溪水、铁索桥、露水,百合、木兰花,12km,野路
39,鹤鸣山,大邑,50km,1h 30min,★,天宫洞、睡佛谷、梅花、奇石、攀岩,梅子、酸藤、野草,9.5km,土路、水泥路
40,云中堡,大邑,50km,1h 30min,★★★,云海观景台、原始森林,松树、杜鹃,8km,野路+水泥路
41,斗胆山,都江堰,50km,1h 30min,★★,古蜀道遗迹、溪水瀑布、原始森林、暮光森林、避暑圣地,杉树、杜鹃、松柏,9km,野路+木栈道
42,药师岩,大邑,50km,1h 30min,★,摩崖石刻、古寺、溶洞、绿色溪水、看耍水,竹林、折耳根,8.5km,土路、石梯
43,大明寺,崇州,50km,1h 30min,★★,唐代古刹大明寺、竹林秘境、山脊观景,古银杏、竹林,9km,土路、水泥路
44,天台山,崇州,50km,1h 30min,★,读书台道观、观鸟台、古蜀道遗迹、轮船航迹、读书台道观、油菜花,油壁花、杉树、山猪,6km,土路、水泥路
45,云华山,都江堰,50km,1h 30min,★★★,云海观景台、庙子坪大桥、日出景观,杉树、杜鹃、竹林、松树、刺荆,9km,野路+木栈道
46,天铜林场,德阳什邡,50km,1h 30min,★★★,原始森林、天鹅湖、林间小溪、观鸟营地,冷杉、杜鹃、蕨类、野莓、松果,11km,土路
47,龙池森林公园,都江堰,50km,1h 30min,★★★,龙池湖、原始森林、高原绝地、巨型石稀,杉树、杜鹃、蕨类、野莓、松果,14km,水泥路+土路
48,神瀑沟药仙谷,彭州,50km,1h 30min,★★,瀑布群、溪水耍水、玻璃栈道、箭竹、泰安碑,松树、冷杉、竹林、高山杜鹃、红枫,10km,野路+铁索桥
49,狮子山大环线,都江堰,50km,1h 30min,★★★,山脊线独行、观景台俯览彭州、狮子壁垒、捡极石,杉树、蒲公英、刺荆、野猪,12KM,野路+回归
50,赵公山,都江堰,50km,1h 30min,★★★★,财神庙、岷江遗迹、高山草甸、观景避暑圣地,松柏、冷杉、杜鹃、高山兰,6km,木栈道+野路
51,凉水井天下太平,双流,50km,1h 30min,★,古井权、铁松坡、凉水溪流、田园风光,枇杷、桃子、李子、杨梅、青冈果,13KM,土路+田园
52,白石河谷,大邑,50km,1h 30min,★★,白色石灰岩峡谷、激流险滩、河谷步道、原始丛林,巨型杨树、杉木、未知洞穴动物,6km,水泥+河滩
53,石梯沟,龙泉驿区,50km,1h 30min,★,樱桃、桃子、山间徒步、农家院落,枇杷、枇杷、刺莓、桃子、杨梅,6km,土路
54,李家沟,大邑,50km,1h 30min,★★,山水画廊、摩崖石刻、古寺、千年杉树、绿野仙踪,青梅、李子、桑葚、螃蟹,7km,土路+水泥路
55,诺水河溶洞,巴中,50km,1h 30min,★★,溶洞景观、地下河奇异、钟乳石景观、推荐避暑景区,蝙蝠、蕨类、阴生植物,4km,栈道+洞内步道
56,水晶瀑布,大邑,50km,1h 30min,★★,瀑布飞泻、彩虹拍摄、凉水清凉、林间避暑,杉树、冷杉、螃蟹,4km,土路+河滩
57,小飞水瀑布,大邑,50km,1h 30min,★★,瀑布景观、浅滩喷水、林间步道、叠落山脊,杉树、青蛙、水蕨、竹林、野莓、野果,5km,水泥路+河滩
58,九峰山,彭州,50km,1h 30min,★★★★★,云海日出、高山草甸、金顶景观,高山杜鹃、松树、野生羊,16km,野路+碎石板
59,水磨溪瀑布,大邑,50km,1h 30min,★★★★,多级瀑布、深潭景观、原始峡谷,冷杉、竹笋、野生猕猴桃,17km,野路+溪谷
60,铁瓦殿,彭州,50km,1h 30min,★★★★★,山顶草甸、云海奇观、360°观景、美若天堂,高山杜鹃、松柏、野兔,18km,陡峭野路
61,金牛古道,广元,50km,1h 30min,★,古栈道遗迹、千年柏树、历史时刻、人文徒步天花板,松柏、银杏、古柏,5km,石梯+土路
62,剑门关,广元,50km,1h 30min,★★,玻璃观景台、三国古战场、鸟道、一线天、关楼、姜维神像、梁山寺壁,松柏、古银杏、山鸡,7km,石阶+栈道
63,西部草地,大邑,50km,1h 30min,★★★,流水青葱、山林环境、休闲步道,杉树、竹林、八月瓜,7km,土路+石阶
64,建川博物馆,大邑,50km,1h 30min,★,红色纪念馆、蜡像群、抗战纪念、武器馆、馆藏纪念馆,松树、草坪,6km,水泥路+步道
65,冰川湖,德阳什邡,50km,1h 30min,★★★,高山湖泊、避暑划船、冷颤、地形地貌,冷杉、杜鹃、野莓,9km,土路+环湖步道
66,斜阳村,崇州,50km,1h 30min,★,梯田风光、日落观景、农家田园,稻谷、桂花、麻藤、青花、八月瓜,9km,田埂+土路
67,鹿儿山,大邑,50km,1h 30min,★★,山脊行走、远眺雪山、秋色斑斓、八月瓜开,刺荆、杜鹃、野果、八月瓜,10km,土路+野路
68,梵谷,彭州,50km,1h 30min,★,秋色彩林、露营观星、篝火晚会、梵谷营地,杉树、银杏、野兔,6km,水泥路+草坪
69,钟家山百工堰,龙泉驿,50km,1h 30min,★,秋色景观、梯田徒步、郊野,枇杷、黄连、酸枣,10km,栈道+土路
70,车顶坪,崇州,50km,1h 30min,★★,秋景云海、杉林金黄、徒步攀爬、览秋林、梭罗巴,冷杉、红枫、芦苇,9km,土路+水泥路
71,彭祖山,眉山,50km,1h 30min,★,彭祖文化、养生步道、山水灵秀、长生洞、膳食,桂花、竹林、酸枣、野草,4km,石梯+水泥路
72,佘家大塘,双流,26km,36min,★,芦苇,芦苇、枇杷、柑橘,8km,土路+水泥路																	